ID,Name,Tactics
T1036.010,Masquerade Account Name,Defense-Evasion
T1200,Hardware Additions,Initial-Access
T1219.002,Remote Desktop Software,Command-And-Control
T1505,Server Software Component,Persistence
T1485,Data Destruction,Impact
T1132.002,Non-Standard Encoding,Command-And-Control
T1556.001,Domain Controller Authentication,"Credential-Access, Defense-Evasion, Persistence"
T1537,Transfer Data to Cloud Account,Exfiltration
T1027.006,HTML Smuggling,Defense-Evasion
T1556.005,Reversible Encryption,"Credential-Access, Defense-Evasion, Persistence"
T1027.010,Command Obfuscation,Defense-Evasion
T1070.004,File Deletion,Defense-Evasion
T1189,Drive-by Compromise,Initial-Access
T1498,Network Denial of Service,Impact
T1651,Cloud Administration Command,Execution
T1546.016,Installer Packages,"Persistence, Privilege-Escalation"
T1595.001,Scanning IP Blocks,Reconnaissance
T1221,Template Injection,Defense-Evasion
T1037.004,RC Scripts,"Persistence, Privilege-Escalation"
T1134,Access Token Manipulation,"Defense-Evasion, Privilege-Escalation"
T1111,Multi-Factor Authentication Interception,Credential-Access
T1027.002,Software Packing,Defense-Evasion
T1584.007,Serverless,Resource-Development
T1071.001,Web Protocols,Command-And-Control
T1059.005,Visual Basic,Execution
T1564.005,Hidden File System,Defense-Evasion
T1543.002,Systemd Service,"Persistence, Privilege-Escalation"
T1668,Exclusive Control,Persistence
T1563.002,RDP Hijacking,Lateral-Movement
T1136,Create Account,Persistence
T1547.013,XDG Autostart Entries,"Persistence, Privilege-Escalation"
T1584.004,Server,Resource-Development
T1672,Email Spoofing,Defense-Evasion
T1526,Cloud Service Discovery,Discovery
T1204.004,Malicious Copy and Paste,Execution
T1018,Remote System Discovery,Discovery
T1046,Network Service Discovery,Discovery
T1590.001,Domain Properties,Reconnaissance
T1518,Software Discovery,Discovery
T1538,Cloud Service Dashboard,Discovery
T1055.005,Thread Local Storage,"Defense-Evasion, Privilege-Escalation"
T1622,Debugger Evasion,"Defense-Evasion, Discovery"
T1036.006,Space after Filename,Defense-Evasion
T1547.007,Re-opened Applications,"Persistence, Privilege-Escalation"
T1608.006,SEO Poisoning,Resource-Development
T1550.002,Pass the Hash,"Defense-Evasion, Lateral-Movement"
T1052,Exfiltration Over Physical Medium,Exfiltration
T1105,Ingress Tool Transfer,Command-And-Control
T1216.002,SyncAppvPublishingServer,Defense-Evasion
T1098.002,Additional Email Delegate Permissions,"Persistence, Privilege-Escalation"
T1588.003,Code Signing Certificates,Resource-Development
T1648,Serverless Execution,Execution
T1548.006,TCC Manipulation,"Defense-Evasion, Privilege-Escalation"
T1055.008,Ptrace System Calls,"Defense-Evasion, Privilege-Escalation"
T1653,Power Settings,Persistence
T1027.007,Dynamic API Resolution,Defense-Evasion
T1021.001,Remote Desktop Protocol,Lateral-Movement
T1037.001,Logon Script (Windows),"Persistence, Privilege-Escalation"
T1055.015,ListPlanting,"Defense-Evasion, Privilege-Escalation"
T1665,Hide Infrastructure,Command-And-Control
T1484,Domain or Tenant Policy Modification,"Defense-Evasion, Privilege-Escalation"
T1220,XSL Script Processing,Defense-Evasion
T1596.005,Scan Databases,Reconnaissance
T1564.001,Hidden Files and Directories,Defense-Evasion
T1578.001,Create Snapshot,Defense-Evasion
T1591.001,Determine Physical Locations,Reconnaissance
T1137.002,Office Test,Persistence
T1587,Develop Capabilities,Resource-Development
T1003.003,NTDS,Credential-Access
T1602.001,SNMP (MIB Dump),Collection
T1001.002,Steganography,Command-And-Control
T1204.001,Malicious Link,Execution
T1550.001,Application Access Token,"Defense-Evasion, Lateral-Movement"
T1547.008,LSASS Driver,"Persistence, Privilege-Escalation"
T1569.002,Service Execution,Execution
T1078.004,Cloud Accounts,"Defense-Evasion, Initial-Access, Persistence, Privilege-Escalation"
T1480.001,Environmental Keying,Defense-Evasion
T1008,Fallback Channels,Command-And-Control
T1564.004,NTFS File Attributes,Defense-Evasion
T1558.003,Kerberoasting,Credential-Access
T1003.006,DCSync,Credential-Access
T1124,System Time Discovery,Discovery
T1053.002,At,"Execution, Persistence, Privilege-Escalation"
T1055.001,Dynamic-link Library Injection,"Defense-Evasion, Privilege-Escalation"
T1588.005,Exploits,Resource-Development
T1556,Modify Authentication Process,"Credential-Access, Defense-Evasion, Persistence"
T1546.017,Udev Rules,"Persistence, Privilege-Escalation"
T1056.004,Credential API Hooking,"Collection, Credential-Access"
T1495,Firmware Corruption,Impact
T1490,Inhibit System Recovery,Impact
T1546.007,Netsh Helper DLL,"Persistence, Privilege-Escalation"
T1566.003,Spearphishing via Service,Initial-Access
T1090.001,Internal Proxy,Command-And-Control
T1216,System Script Proxy Execution,Defense-Evasion
T1102.001,Dead Drop Resolver,Command-And-Control
T1001.001,Junk Data,Command-And-Control
T1598.001,Spearphishing Service,Reconnaissance
T1043,Commonly Used Port,Command-And-Control
T1505.006,vSphere Installation Bundles,Persistence
T1552.007,Container API,Credential-Access
T1584.001,Domains,Resource-Development
T1505.001,SQL Stored Procedures,Persistence
T1556.004,Network Device Authentication,"Credential-Access, Defense-Evasion, Persistence"
T1561.001,Disk Content Wipe,Impact
T1213.005,Messaging Applications,Collection
T1048.003,Exfiltration Over Unencrypted Non-C2 Protocol,Exfiltration
T1027.015,Compression,Defense-Evasion
T1574.004,Dylib Hijacking,"Defense-Evasion, Persistence, Privilege-Escalation"
T1601.002,Downgrade System Image,Defense-Evasion
T1078.003,Local Accounts,"Defense-Evasion, Initial-Access, Persistence, Privilege-Escalation"
T1669,Wi-Fi Networks,Initial-Access
T1211,Exploitation for Defense Evasion,Defense-Evasion
T1127,Trusted Developer Utilities Proxy Execution,Defense-Evasion
T1529,System Shutdown/Reboot,Impact
T1218.014,MMC,Defense-Evasion
T1564.010,Process Argument Spoofing,Defense-Evasion
T1574.012,COR_PROFILER,"Defense-Evasion, Persistence, Privilege-Escalation"
